Budget_Multiplier,Budget_Per_Brand,Total_Budget,Total_Conversions,Marginal_Conv,Marginal_Budget,Marginal_CPA
0.6,60000000.0,600000000.0,5856.05617465818,,,inf
0.8,80000000.0,800000000.0,6192.041658089444,335.9854834312646,200000000.0,595263.8130596963
1.0,100000000.0,1000000000.0,6452.652250030341,260.6105919408965,200000000.0,767428.5166635043
1.2,120000000.0,1200000000.0,6665.5866102201935,212.93436018985267,200000000.0,939256.5850888491
1.4,140000000.0,1400000000.0,6845.620047800782,180.03343758058872,200000000.0,1110904.744628195
